name,source_file,record_id,SMILES,poly_diff_5ns_value,Degree of polymerization,salt_molality_mol_per_kg_polymer,target_total_atoms,repeat_unit_mw_g_mol,repeat_unit_atom_count,short length,chain_mw_g_mol,chain_atom_count,litfsi_mw_g_mol,litfsi_atom_count,litfsi_per_chain_ideal,litfsi_per_chain_nearest_int,Num_chains,Num_LiTFSI,system_total_atom_count,system_actual_litfsi_per_chain,system_actual_molality_mol_per_kg_polymer,left_cap,right_cap
poly_1,cv_0.csv,9-0-413634818-0,CC(CC(=O)NCC(C)(C)NC(=O)*)N*,7.243603165791336e-09,150,1.5,100000,199.254,31,4,29888.1,4650,287.088,16,44.83215,45,19,852,101982,44.842105,1.500333,*C,*C
poly_2,cv_0.csv,9-0-413640875-0,CC(N*)C(C)C(=O)N(C)CCCNC(=O)*,9.252367822451492e-09,150,1.5,100000,213.281,34,4,31992.15,5100,287.088,16,47.988225,48,18,864,105624,48,1.500368,*C,*C
poly_3,cv_0.csv,9-0-1132295465-0,CC(C)C(CCOC(=O)*)O*,2.178528740312231e-08,150,1.5,100000,144.17,22,4,21625.5,3300,287.088,16,32.43825,32,27,876,103116,32.444444,1.500286,*C,*C
poly_4,cv_0.csv,9-0-33232042-0,C#CC(C)(NC(=O)*)C(=O)NC(CC)CO*,1.1412582542649805e-08,150,1.5,100000,210.233,29,4,31534.95,4350,287.088,16,47.302425,47,20,946,102136,47.3,1.499923,*C,*C
poly_5,cv_0.csv,9-0-1119519108-0,O=C(COCCO*)NCC(CF)OC(=O)*,1.8257070377605953e-08,150,1.5,100000,221.184,27,4,33177.6,4050,287.088,16,49.7664,50,21,1045,101770,49.761905,1.499865,*C,*C
poly_6,cv_0.csv,9-0-413642900-0,CC(CN*)N(C)C(=O)CCNC(=O)*,7.232853661814926e-09,150,1.5,100000,185.227,28,4,27784.05,4200,287.088,16,41.676075,42,21,875,102200,41.666667,1.499661,*C,*C
poly_7,cv_0.csv,9-0-1119520611-0,O=C(*)NCCCCNC(=O)COCCO*,2.4215389549348757e-08,150,1.5,100000,216.237,31,4,32435.55,4650,287.088,16,48.653325,49,19,924,103134,48.631579,1.49933,*C,*C
poly_8,cv_0.csv,9-0-538234369-0,CC(CN*)OCCOC(=O)*,2.7504914972515928e-08,150,1.5,100000,145.158,21,4,21773.7,3150,287.088,16,32.66055,33,28,914,102824,32.642857,1.499187,*C,*C
poly_9,cv_0.csv,9-0-1119505021-0,CC(O*)C(=O)NCCOCCOC(=O)*,2.14699693186083e-08,150,1.5,100000,203.194,27,4,30479.1,4050,287.088,16,45.71865,46,21,960,100410,45.714286,1.499857,*C,*C
poly_10,cv_0.csv,9-0-413681800-0,CCC(C)NC(=O)C(CCN*)NC(=O)*,6.304378037388722e-09,150,1.5,100000,199.254,31,4,29888.1,4650,287.088,16,44.83215,45,19,852,101982,44.842105,1.500333,*C,*C
poly_11,cv_0.csv,9-0-602367105-0,O=C(*)OCCCC#CC#CCCCO*,2.9247451249736923e-08,150,1.5,100000,192.214,26,4,28832.1,3900,287.088,16,43.24815,43,22,951,101016,43.227273,1.499276,*C,*C
poly_12,cv_0.csv,9-0-1119504357-0,COCCN(CCO*)CCOC(=O)*,5.254724629134138e-08,150,1.5,100000,189.211,28,4,28381.65,4200,287.088,16,42.572475,43,21,894,102504,42.571429,1.499963,*C,*C
poly_13,cv_0.csv,9-0-413681788-0,N=CNC(=O)CC(CCCCN*)NC(=O)*,1.2269864451903983e-08,150,1.5,100000,212.253,31,4,31837.95,4650,287.088,16,47.756925,48,19,907,102862,47.736842,1.499369,*C,*C
poly_14,cv_0.csv,9-0-246234922-0,CCCCCN(CCCNC(=O)*)CCO*,2.2288951302888453e-08,150,1.5,100000,214.309,37,4,32146.35,5550,287.088,16,48.219525,48,16,772,101152,48.25,1.500948,*C,*C
poly_15,cv_0.csv,9-0-33223156-0,C=CC(CO*)NC(C)C(C)OC(=O)*,2.4526788501647045e-08,150,1.5,100000,185.223,28,4,27783.45,4200,287.088,16,41.675175,42,21,875,102200,41.666667,1.499694,*C,*C
poly_16,cv_0.csv,9-0-962051435-0,O=C(*)OCCC(CN*)C(F)(F)F,1.0304981108379671e-08,150,1.5,100000,183.129,20,4,27469.35,3000,287.088,16,41.204025,41,28,1154,102464,41.214286,1.500374,*C,*C
poly_17,cv_0.csv,9-0-413642454-0,CC(CN*)N(C)C(=O)CCCNC(=O)*,6.406243811572339e-09,150,1.5,100000,199.254,31,4,29888.1,4650,287.088,16,44.83215,45,19,852,101982,44.842105,1.500333,*C,*C
poly_18,cv_0.csv,9-0-1119513215-0,CCOCC(=O)NC(CO*)C(C)OC(=O)*,1.2458127939393956e-08,150,1.5,100000,217.221,30,4,32583.15,4500,287.088,16,48.874725,49,19,929,100364,48.894737,1.500614,*C,*C
poly_19,cv_0.csv,9-0-1119506079-0,CCC(NC(=O)*)C(=O)NCC(COC)O*,9.339978595157234e-09,150,1.5,100000,216.237,31,4,32435.55,4650,287.088,16,48.653325,49,19,924,103134,48.631579,1.49933,*C,*C
poly_20,cv_0.csv,9-0-33218752-0,N#CCN(CCCOC(=O)*)CCO*,2.8101856253168145e-08,150,1.5,100000,184.195,25,4,27629.25,3750,287.088,16,41.443875,41,23,953,101498,41.434783,1.499671,*C,*C
poly_21,cv_0.csv,9-0-413607692-0,O=C(*)OCCN(CCF)CCO*,2.8552030246502992e-08,150,1.5,100000,177.175,24,4,26576.25,3600,287.088,16,39.864375,40,24,957,101712,39.875,1.5004,*C,*C
poly_22,cv_0.csv,9-0-413595859-0,CCN(CCCNC(=O)*)CCOCCO*,3.609101805829998e-08,150,1.5,100000,216.281,35,4,32442.15,5250,287.088,16,48.663225,49,17,827,102482,48.647059,1.499502,*C,*C
poly_23,cv_0.csv,9-0-538238345-0,COCC(NC(=O)*)C(C)(C)O*,7.444478872864522e-09,150,1.5,100000,159.185,24,4,23877.75,3600,287.088,16,35.816625,36,24,860,100160,35.833333,1.5007,*C,*C
poly_24,cv_0.csv,9-0-413655608-0,CC(C)N(CCO*)CCOCCNC(=O)*,3.6227747491946565e-08,150,1.5,100000,216.281,35,4,32442.15,5250,287.088,16,48.663225,49,17,827,102482,48.647059,1.499502,*C,*C
poly_25,cv_0.csv,9-0-413690201-0,CCC(CNCCOCCCO*)OC(=O)*,4.870686861607781e-08,150,1.5,100000,217.265,34,4,32589.75,5100,287.088,16,48.884625,49,18,880,105880,48.888889,1.500131,*C,*C
poly_26,cv_0.csv,9-0-246229002-0,CC(CN(C)CCC(N*)C(C)C)OC(=O)*,1.932964973354369e-08,150,1.5,100000,214.309,37,4,32146.35,5550,287.088,16,48.219525,48,16,772,101152,48.25,1.500948,*C,*C
poly_27,cv_0.csv,9-0-1119512677-0,CN(CCO*)C(=O)COCCOC(=O)*,1.768761099288776e-08,150,1.5,100000,203.194,27,4,30479.1,4050,287.088,16,45.71865,46,21,960,100410,45.714286,1.499857,*C,*C
poly_28,cv_0.csv,9-0-1119507892-0,CNC(=O)CCN(C)CC(CN*)OC(=O)*,1.1946669644436889e-08,150,1.5,100000,215.253,32,4,32287.95,4800,287.088,16,48.431925,48,18,872,100352,48.444444,1.500388,*C,*C
poly_29,cv_0.csv,9-0-413616305-0,CCCC(O*)C(=O)NCC(C)CNC(=O)*,1.1526536160904088e-08,150,1.5,100000,214.265,33,4,32139.75,4950,287.088,16,48.209625,48,18,868,102988,48.222222,1.500392,*C,*C
poly_30,cv_0.csv,9-0-428453343-0,NC(=O)C(O*)C(OC(=O)*)C(N)=O,5.811357654429342e-09,150,1.5,100000,174.112,18,4,26116.8,2700,287.088,16,39.1752,39,31,1214,103124,39.16129,1.499467,*C,*C
poly_31,cv_0.csv,9-0-1132278197-0,O=C(*)OCCCCCCCO*,8.043329651991494e-08,150,1.5,100000,158.197,25,4,23729.55,3750,287.088,16,35.594325,36,24,854,103664,35.583333,1.499537,*C,*C
poly_32,cv_0.csv,9-0-246289371-0,CC(CC(C)(C)O*)NCC(C)OC(=O)*,2.1594007550538885e-08,150,1.5,100000,201.266,33,4,30189.9,4950,287.088,16,45.28485,45,18,815,102140,45.277778,1.499766,*C,*C
poly_33,cv_0.csv,9-0-246265729-0,CC(CCOC(=O)*)NC(C)CC(C)O*,4.0691687267900375e-08,150,1.5,100000,201.266,33,4,30189.9,4950,287.088,16,45.28485,45,18,815,102140,45.277778,1.499766,*C,*C
poly_34,cv_0.csv,9-0-246181191-0,CN(CCCCCOC(=O)*)CCO*,4.624727463070961e-08,150,1.5,100000,187.239,30,4,28085.85,4500,287.088,16,42.128775,42,20,843,103488,42.15,1.500756,*C,*C
poly_35,cv_0.csv,9-0-246233209-0,CN(CCCCCCO*)CCNC(=O)*,4.344527091875615e-08,150,1.5,100000,200.282,34,4,30042.3,5100,287.088,16,45.06345,45,18,811,104776,45.055556,1.499737,*C,*C
poly_36,cv_0.csv,9-0-246166163-0,O=C(*)OCCCCNCCCCO*,6.13253522005205e-08,150,1.5,100000,187.239,30,4,28085.85,4500,287.088,16,42.128775,42,20,843,103488,42.15,1.500756,*C,*C
poly_37,cv_0.csv,9-0-485080326-0,C=CCCC(COC(=O)*)NCC(C)O*,2.9063164251142307e-08,150,1.5,100000,199.25,31,4,29887.5,4650,287.088,16,44.83125,45,19,852,101982,44.842105,1.500363,*C,*C
poly_38,cv_0.csv,9-0-538226227-0,O=C(*)NCCSCCN*,1.9727472508848535e-08,150,1.5,100000,146.215,19,4,21932.25,2850,287.088,16,32.898375,33,30,987,101292,32.9,1.500074,*C,*C
poly_39,cv_0.csv,9-0-1119505106-0,O=C(CCN*)NCCOCCOC(=O)*,2.5486944151634753e-08,150,1.5,100000,202.21,28,4,30331.5,4200,287.088,16,45.49725,45,21,955,103480,45.47619,1.499306,*C,*C
poly_40,cv_0.csv,9-0-482404819-0,CC(CNCC(C)NC(=O)*)N*,6.146146408902151e-09,150,1.5,100000,157.217,26,4,23582.55,3900,287.088,16,35.373825,35,23,814,102724,35.391304,1.500741,*C,*C
poly_41,cv_0.csv,9-0-246362359-0,CCC(C)(O*)C(=O)OCCCOC(=O)*,2.1336827611737576e-08,150,1.5,100000,202.206,28,4,30330.9,4200,287.088,16,45.49635,45,21,955,103480,45.47619,1.499335,*C,*C
poly_42,cv_0.csv,9-0-538226717-0,O=C(*)NCCCOCCCN*,1.850884099155724e-08,150,1.5,100000,158.201,25,4,23730.15,3750,287.088,16,35.595225,36,24,854,103664,35.583333,1.499499,*C,*C
poly_43,cv_0.csv,9-0-428454775-0,O=C(*)NCCNCCNCCNCCN*,2.3332215013857223e-08,150,1.5,100000,215.301,36,4,32295.15,5400,287.088,16,48.442725,48,17,824,104984,48.470588,1.500863,*C,*C
poly_44,cv_0.csv,9-0-413641803-0,CN(CC(CNC(=O)*)O*)C(=O)C(C)(F)F,9.143186414624073e-09,150,1.5,100000,222.191,27,4,33328.65,4050,287.088,16,49.992975,50,21,1050,101850,50,1.500211,*C,*C
poly_45,cv_0.csv,9-0-1119505776-0,CN(CCO*)CCN(C)CCOC(=O)*,6.803398449439708e-08,150,1.5,100000,202.254,32,4,30338.1,4800,287.088,16,45.50715,46,19,865,105040,45.526316,1.500632,*C,*C
poly_46,cv_0.csv,9-0-1119524807-0,O=C(*)NCC(=O)NCCOCCCN*,1.5200598949058713e-08,150,1.5,100000,201.226,29,4,30183.9,4350,287.088,16,45.27585,45,20,906,101496,45.3,1.5008,*C,*C
poly_47,cv_0.csv,9-0-413607859-0,CCOCCN(C)CC(CN*)OC(=O)*,2.5070258433599162e-08,150,1.5,100000,202.254,32,4,30338.1,4800,287.088,16,45.50715,46,19,865,105040,45.526316,1.500632,*C,*C
poly_48,cv_0.csv,9-0-246284158-0,O=C(*)OCCCN(CCCF)CCO*,3.54443238778489e-08,150,1.5,100000,205.229,30,4,30784.35,4500,287.088,16,46.176525,46,20,924,104784,46.2,1.500763,*C,*C
